chain_label,score_state,shots,goals,mean_xg,goal_rate,lift_vs_xg,state_share,chain_share
Carry + Cross,Trailing 2+,30,3,0.12383406016666668,0.1,-0.02383406016666667,0.08086253369272237,0.06802721088435375
Carry + Cross,Trailing 1,105,11,0.12505444196190477,0.10476190476190476,-0.020292537200000002,0.08898305084745763,0.23809523809523808
Carry + Cross,Level,229,21,0.13732309050218341,0.09170305676855896,-0.04562003373362446,0.074934554973822,0.5192743764172335
Carry + Cross,Leading 1,63,12,0.14636380606349206,0.19047619047619047,0.04411238441269841,0.07334109429569266,0.14285714285714285
Carry + Cross,Leading 2+,14,2,0.112146717,0.14285714285714285,0.030710425857142842,0.03856749311294766,0.031746031746031744
Carry + Cross,Unknown,0,0,,0.0,0.0,0.0,0.0
Carry + Cutback,Trailing 2+,1,1,0.27505946,1.0,0.72494054,0.0026954177897574125,0.018518518518518517
Carry + Cutback,Trailing 1,11,3,0.170562532,0.2727272727272727,0.10216474072727272,0.009322033898305085,0.2037037037037037
Carry + Cutback,Level,31,5,0.13031237041935484,0.16129032258064516,0.030977952161290317,0.010143979057591623,0.5740740740740741
Carry + Cutback,Leading 1,9,2,0.153458011,0.2222222222222222,0.0687642112222222,0.010477299185098952,0.16666666666666666
Carry + Cutback,Leading 2+,2,0,0.177713685,0.0,-0.177713685,0.005509641873278237,0.037037037037037035
Carry + Cutback,Unknown,0,0,,0.0,0.0,0.0,0.0
Carry + Ground Pass,Trailing 2+,67,1,0.052794423279104476,0.014925373134328358,-0.037869050144776116,0.18059299191374664,0.055417700578990904
Carry + Ground Pass,Trailing 1,215,10,0.05726832339395349,0.046511627906976744,-0.010756695486976747,0.18220338983050846,0.17783291976840365
Carry + Ground Pass,Level,670,41,0.05417772628626865,0.06119402985074627,0.007016303564477619,0.21924083769633507,0.554177005789909
Carry + Ground Pass,Leading 1,180,15,0.08147184719722222,0.08333333333333333,0.001861486136111104,0.20954598370197905,0.1488833746898263
Carry + Ground Pass,Leading 2+,77,8,0.08693423608311687,0.1038961038961039,0.01696186781298703,0.21212121212121213,0.06368899917287014
Carry + Ground Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Carry + High Pass,Trailing 2+,15,0,0.06741006826666668,0.0,-0.06741006826666668,0.04043126684636118,0.04424778761061947
Carry + High Pass,Trailing 1,60,5,0.09296974969999999,0.08333333333333333,-0.009636416366666664,0.05084745762711865,0.17699115044247787
Carry + High Pass,Level,199,13,0.10188694196984925,0.06532663316582915,-0.0365603088040201,0.06511780104712042,0.5870206489675516
Carry + High Pass,Leading 1,48,6,0.09668536702083334,0.125,0.028314632979166657,0.05587892898719441,0.1415929203539823
Carry + High Pass,Leading 2+,17,1,0.13285027658823528,0.058823529411764705,-0.07402674717647058,0.046831955922865015,0.05014749262536873
Carry + High Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Carry + Switch,Trailing 2+,7,0,0.058066731999999996,0.0,-0.058066731999999996,0.018867924528301886,0.043209876543209874
Carry + Switch,Trailing 1,40,1,0.07013296757500001,0.025,-0.04513296757500001,0.03389830508474576,0.24691358024691357
Carry + Switch,Level,91,4,0.07020146593956043,0.04395604395604396,-0.026245421983516475,0.029777486910994765,0.5617283950617284
Carry + Switch,Leading 1,18,1,0.08496474681666667,0.05555555555555555,-0.02940919126111112,0.020954598370197905,0.1111111111111111
Carry + Switch,Leading 2+,6,0,0.06307117216666668,0.0,-0.06307117216666668,0.01652892561983471,0.037037037037037035
Carry + Switch,Unknown,0,0,,0.0,0.0,0.0,0.0
Carry + Through Ball,Trailing 2+,4,1,0.25156271125,0.25,-0.001562711250000015,0.01078167115902965,0.05714285714285714
Carry + Through Ball,Trailing 1,9,4,0.1979399062222222,0.4444444444444444,0.2465045382222222,0.007627118644067797,0.12857142857142856
Carry + Through Ball,Level,41,8,0.18499054946341464,0.1951219512195122,0.010131401756097558,0.013416230366492147,0.5857142857142857
Carry + Through Ball,Leading 1,7,3,0.2200477257142857,0.42857142857142855,0.20852370285714283,0.008149010477299184,0.1
Carry + Through Ball,Leading 2+,9,3,0.34322481844444447,0.3333333333333333,-0.009891485111111153,0.024793388429752067,0.12857142857142856
Carry + Through Ball,Unknown,0,0,,0.0,0.0,0.0,0.0
Direct + Cross,Trailing 2+,23,6,0.15598337491304348,0.2608695652173913,0.10488619030434781,0.06199460916442048,0.0696969696969697
Direct + Cross,Trailing 1,65,6,0.12845419832307692,0.09230769230769231,-0.036146506015384605,0.05508474576271186,0.19696969696969696
Direct + Cross,Level,181,30,0.14180457047513811,0.16574585635359115,0.02394128587845304,0.05922774869109947,0.5484848484848485
Direct + Cross,Leading 1,43,5,0.14658493558139535,0.11627906976744186,-0.03030586581395349,0.050058207217694994,0.1303030303030303
Direct + Cross,Leading 2+,18,7,0.2088761478888889,0.3888888888888889,0.180012741,0.049586776859504134,0.05454545454545454
Direct + Cross,Unknown,0,0,,0.0,0.0,0.0,0.0
Direct + Cutback,Trailing 2+,3,0,0.12444711166666667,0.0,-0.12444711166666667,0.008086253369272238,0.06382978723404255
Direct + Cutback,Trailing 1,8,1,0.167051527625,0.125,-0.042051527625,0.006779661016949152,0.1702127659574468
Direct + Cutback,Level,19,2,0.13195089747368421,0.10526315789473684,-0.026687739578947378,0.006217277486910994,0.40425531914893614
Direct + Cutback,Leading 1,13,2,0.1672762086923077,0.15384615384615385,-0.013430054846153838,0.015133876600698487,0.2765957446808511
Direct + Cutback,Leading 2+,4,1,0.2583321375,0.25,-0.008332137500000003,0.011019283746556474,0.0851063829787234
Direct + Cutback,Unknown,0,0,,0.0,0.0,0.0,0.0
Direct + Ground Pass,Trailing 2+,62,4,0.048967010677419355,0.06451612903225806,0.015549118354838708,0.16711590296495957,0.06300813008130081
Direct + Ground Pass,Trailing 1,187,7,0.05559436288716578,0.0374331550802139,-0.01816120780695188,0.15847457627118644,0.19004065040650406
Direct + Ground Pass,Level,476,32,0.06372991696785714,0.06722689075630252,0.003496973788445379,0.15575916230366493,0.483739837398374
Direct + Ground Pass,Leading 1,173,19,0.08573924776358381,0.10982658959537572,0.02408734183179191,0.20139697322467986,0.1758130081300813
Direct + Ground Pass,Leading 2+,86,9,0.11490357124883721,0.10465116279069768,-0.01025240845813953,0.2369146005509642,0.08739837398373984
Direct + Ground Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Direct + High Pass,Trailing 2+,24,3,0.12471370370833333,0.125,0.00028629629166666837,0.0646900269541779,0.09302325581395349
Direct + High Pass,Trailing 1,69,7,0.12075362613768116,0.10144927536231885,-0.019304350775362314,0.05847457627118644,0.26744186046511625
Direct + High Pass,Level,125,6,0.084721063976,0.048,-0.036721063976,0.04090314136125654,0.4844961240310077
Direct + High Pass,Leading 1,29,3,0.11791025103448276,0.10344827586206896,-0.014461975172413793,0.033760186263096625,0.1124031007751938
Direct + High Pass,Leading 2+,11,1,0.10017126336363637,0.09090909090909091,-0.009262172454545456,0.030303030303030304,0.04263565891472868
Direct + High Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Direct + Switch,Trailing 2+,9,0,0.06871967655555555,0.0,-0.06871967655555555,0.02425876010781671,0.06766917293233082
Direct + Switch,Trailing 1,32,1,0.057145393390625,0.03125,-0.025895393390625,0.02711864406779661,0.24060150375939848
Direct + Switch,Level,69,3,0.0743442955942029,0.043478260869565216,-0.030866034724637684,0.022578534031413612,0.518796992481203
Direct + Switch,Leading 1,21,0,0.07365695066666667,0.0,-0.07365695066666667,0.024447031431897557,0.15789473684210525
Direct + Switch,Leading 2+,2,1,0.1141649275,0.5,0.3858350725,0.005509641873278237,0.015037593984962405
Direct + Switch,Unknown,0,0,,0.0,0.0,0.0,0.0
Direct + Through Ball,Trailing 2+,2,1,0.19903284699999998,0.5,0.300967153,0.005390835579514825,0.02531645569620253
Direct + Through Ball,Trailing 1,12,2,0.18896125649999998,0.16666666666666666,-0.022294589833333323,0.010169491525423728,0.1518987341772152
Direct + Through Ball,Level,42,13,0.22319034188095235,0.30952380952380953,0.08633346764285718,0.0137434554973822,0.5316455696202531
Direct + Through Ball,Leading 1,11,4,0.17438522759090908,0.36363636363636365,0.18925113604545457,0.012805587892898719,0.13924050632911392
Direct + Through Ball,Leading 2+,12,6,0.21529426299999999,0.5,0.284705737,0.03305785123966942,0.1518987341772152
Direct + Through Ball,Unknown,0,0,,0.0,0.0,0.0,0.0
Dribble + Ground Pass,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Dribble + Ground Pass,Trailing 1,0,0,,0.0,0.0,0.0,0.0
Dribble + Ground Pass,Level,2,0,0.050188549,0.0,-0.050188549,0.0006544502617801048,1.0
Dribble + Ground Pass,Leading 1,0,0,,0.0,0.0,0.0,0.0
Dribble + Ground Pass,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Dribble + Ground Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Dribble + High Pass,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Dribble + High Pass,Trailing 1,0,0,,0.0,0.0,0.0,0.0
Dribble + High Pass,Level,1,0,0.01084097,0.0,-0.01084097,0.0003272251308900524,0.3333333333333333
Dribble + High Pass,Leading 1,1,0,0.063381545,0.0,-0.063381545,0.0011641443538998836,0.3333333333333333
Dribble + High Pass,Leading 2+,1,1,0.29249918,1.0,0.7075008199999999,0.0027548209366391185,0.3333333333333333
Dribble + High Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Dribble + Switch,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Dribble + Switch,Trailing 1,0,0,,0.0,0.0,0.0,0.0
Dribble + Switch,Level,1,0,0.030144284,0.0,-0.030144284,0.0003272251308900524,1.0
Dribble + Switch,Leading 1,0,0,,0.0,0.0,0.0,0.0
Dribble + Switch,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Dribble + Switch,Unknown,0,0,,0.0,0.0,0.0,0.0
Duel Win + Cross,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Cross,Trailing 1,1,0,0.21807538,0.0,-0.21807538,0.000847457627118644,0.3333333333333333
Duel Win + Cross,Level,1,0,0.15321249,0.0,-0.15321249,0.0003272251308900524,0.3333333333333333
Duel Win + Cross,Leading 1,0,0,,0.0,0.0,0.0,0.0
Duel Win + Cross,Leading 2+,1,1,0.08633457,1.0,0.91366543,0.0027548209366391185,0.3333333333333333
Duel Win + Cross,Unknown,0,0,,0.0,0.0,0.0,0.0
Duel Win + Ground Pass,Trailing 2+,1,0,0.025972955,0.0,-0.025972955,0.0026954177897574125,0.14285714285714285
Duel Win + Ground Pass,Trailing 1,1,0,0.0056386488,0.0,-0.0056386488,0.000847457627118644,0.14285714285714285
Duel Win + Ground Pass,Level,3,0,0.03630281766666666,0.0,-0.03630281766666666,0.000981675392670157,0.42857142857142855
Duel Win + Ground Pass,Leading 1,2,0,0.11696034699999999,0.0,-0.11696034699999999,0.002328288707799767,0.2857142857142857
Duel Win + Ground Pass,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Ground Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Duel Win + High Pass,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + High Pass,Trailing 1,1,0,0.20361854,0.0,-0.20361854,0.000847457627118644,0.25
Duel Win + High Pass,Level,3,0,0.061298826,0.0,-0.061298826,0.000981675392670157,0.75
Duel Win + High Pass,Leading 1,0,0,,0.0,0.0,0.0,0.0
Duel Win + High Pass,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + High Pass,Unknown,0,0,,0.0,0.0,0.0,0.0
Duel Win + Switch,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Switch,Trailing 1,1,0,0.009048959,0.0,-0.009048959,0.000847457627118644,0.5
Duel Win + Switch,Level,0,0,,0.0,0.0,0.0,0.0
Duel Win + Switch,Leading 1,1,0,0.026730016,0.0,-0.026730016,0.0011641443538998836,0.5
Duel Win + Switch,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Switch,Unknown,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Trailing 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Trailing 1,1,0,0.46036732,0.0,-0.46036732,0.000847457627118644,1.0
Duel Win + Through Ball,Level,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Leading 1,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Leading 2+,0,0,,0.0,0.0,0.0,0.0
Duel Win + Through Ball,Unknown,0,0,,0.0,0.0,0.0,0.0
Unassisted,Trailing 2+,123,26,0.2698604715284553,0.21138211382113822,-0.0584783577073171,0.33153638814016173,0.07235294117647059
Unassisted,Trailing 1,362,70,0.21743280635027623,0.19337016574585636,-0.02406264060441987,0.30677966101694915,0.21294117647058824
Unassisted,Level,872,127,0.15476765222305047,0.14564220183486237,-0.0091254503881881,0.28534031413612565,0.5129411764705882
Unassisted,Leading 1,240,52,0.22294707196416666,0.21666666666666667,-0.006280405297499986,0.27939464493597205,0.1411764705882353
Unassisted,Leading 2+,103,15,0.14451660395728155,0.14563106796116504,0.0011144640038834863,0.2837465564738292,0.060588235294117644
Unassisted,Unknown,0,0,,0.0,0.0,0.0,0.0
