feature,coefficient,abs_coefficient
cat__def_label_Block – Deflection,2.1762591796350663,2.1762591796350663
num__def_trigger_logit,1.920237644166238,1.920237644166238
cat__def_label_No immediate defensive trigger,-0.8140057740469955,0.8140057740469955
bin__possession_match,-0.8036500009191742,0.8036500009191742
num__statsbomb_xg,0.5444195097676489,0.5444195097676489
cat__def_label_Duel – Aerial Lost,-0.49923763229825824,0.49923763229825824
cat__def_label_Duel – Tackle,-0.45713664064494297,0.45713664064494297
num__shot_distance,-0.4028753831840561,0.4028753831840561
cat__pressure_state_Not under pressure,-0.38234674515025174,0.38234674515025174
cat__set_piece_phase_Second Phase,-0.37205822501052255,0.37205822501052255
cat__def_label_Interception – Lost In Play,-0.3680874982825086,0.3680874982825086
cat__minute_bucket_label_0-15,-0.3649402245017071,0.3649402245017071
num__assist_quality_multiplier,-0.3597849101564812,0.3597849101564812
num__pressure_logit,0.3379825437495958,0.3379825437495958
num__assist_quality_logit,0.30898277016213754,0.30898277016213754
cat__chain_label_Direct + Through Ball,0.2936395921145562,0.2936395921145562
cat__pass_style_Through Ball,0.2936395921145562,0.2936395921145562
cat__assist_category_Counter Through Ball,-0.29024613640132674,0.29024613640132674
cat__def_label_Carry,-0.29011004014229264,0.29011004014229264
num__set_piece_logit,0.28251815748342785,0.28251815748342785
cat__chain_label_Direct + Switch,-0.27409750977382236,0.27409750977382236
cat__pass_style_Switch,-0.27409750977382236,0.27409750977382236
cat__set_piece_phase_Direct,0.27366673854925383,0.27366673854925383
cat__set_piece_category_Direct Free Kick,0.27366673854925383,0.27366673854925383
cat__set_piece_category_Open Play,-0.23391075389313315,0.23391075389313315
cat__set_piece_phase_Open Play,-0.23391075389313315,0.23391075389313315
cat__assist_category_Counter (solo),-0.23260277351501313,0.23260277351501313
cat__set_piece_category_Corner,-0.22760908830798401,0.22760908830798401
cat__chain_label_Direct + High Pass,-0.22485639725823017,0.22485639725823017
cat__pass_style_High Pass,-0.22485639725823017,0.22485639725823017
cat__assist_category_Cutback,-0.21402971578734487,0.21402971578734487
cat__chain_label_Direct + Cross,-0.21212971856155755,0.21212971856155755
cat__pass_style_Cross,-0.21212971856155755,0.21212971856155755
cat__set_piece_phase_First Phase,-0.20679597573359226,0.20679597573359226
cat__minute_bucket_label_15-30,-0.20068021468098526,0.20068021468098526
num__def_trigger_modeled_prob,-0.18603236011595142,0.18603236011595142
bin__is_leading,-0.1845626739987998,0.1845626739987998
cat__simple_state_Leading,-0.1845626739987998,0.1845626739987998
cat__set_piece_category_Kick Off,-0.1827860394533656,0.1827860394533656
cat__simple_state_Trailing,-0.18229967193984467,0.18229967193984467
bin__is_trailing,-0.18229967193984467,0.18229967193984467
cat__def_label_Pressure,-0.1821085475182043,0.1821085475182043
bin__is_drawing,-0.17223587014935657,0.17223587014935657
cat__score_state_Level,-0.17223587014935657,0.17223587014935657
cat__simple_state_Drawing,-0.1722358701493538,0.1722358701493538
num__def_trigger_multiplier,0.16295317550516206,0.16295317550516206
cat__pressure_state_Under pressure,-0.15675147093774922,0.15675147093774922
cat__score_state_Leading 2+,-0.15125294795609265,0.15125294795609265
num__minute,-0.1508728972983746,0.1508728972983746
cat__def_label_Ball Recovery,-0.14075131657610412,0.14075131657610412
cat__assist_category_Cross,0.13699013184108982,0.13699013184108982
cat__minute_bucket_label_30-45,-0.13650544343806512,0.13650544343806512
cat__pass_style_Ground Pass,-0.13476419669348416,0.13476419669348416
cat__chain_label_Direct + Ground Pass,-0.13476419669348416,0.13476419669348416
cat__minute_bucket_label_45-60,-0.12846673765032776,0.12846673765032776
cat__minute_bucket_label_75-90,0.12273563818692358,0.12273563818692358
cat__set_piece_category_Goal Kick,-0.12272857640006872,0.12272857640006872
num__pressure_modeled_prob,-0.11736562243200059,0.11736562243200059
num__finishing_bias_multiplier,-0.11340604254403479,0.11340604254403479
cat__assist_category_Set Piece,-0.09800244065222054,0.09800244065222054
cat__assist_category_High Pass,0.09635767659571598,0.09635767659571598
cat__assist_category_Counter Attack,0.09458235828225547,0.09458235828225547
cat__score_state_Trailing 1,-0.09385960695801503,0.09385960695801503
cat__minute_bucket_label_60-75,0.09363169915565003,0.09363169915565003
num__finishing_bias_logit,0.09177170426446953,0.09177170426446953
cat__def_label_Interception – Lost Out,-0.09000828597109102,0.09000828597109102
cat__score_state_Trailing 2+,-0.0884400649818279,0.0884400649818279
cat__minute_bucket_label_90+,0.07512706684052001,0.07512706684052001
num__set_piece_multiplier,-0.06316743468325552,0.06316743468325552
cat__assist_category_Ground Pass,0.06261691836734806,0.06261691836734806
cat__assist_category_Through Ball,-0.0593849364781216,0.0593849364781216
num__pressure_multiplier,-0.057805997315779616,0.057805997315779616
cat__set_piece_category_Indirect Free Kick,-0.0566144910024049,0.0566144910024049
num__shot_angle,0.055112490161089614,0.055112490161089614
cat__def_label_Block,0.05199681234877888,0.05199681234877888
cat__def_label_Interception – Won,0.0475769759094367,0.0475769759094367
cat__chain_label_Direct + Cutback,0.0425842652346234,0.0425842652346234
cat__pass_style_Cutback,0.0425842652346234,0.0425842652346234
num__score_diff_at_shot,0.041460937443294134,0.041460937443294134
cat__assist_category_Unassisted,-0.03537929834038269,0.03537929834038269
cat__set_piece_category_Throw In,0.03528297650899177,0.03528297650899177
cat__score_state_Leading 1,-0.03330972604270591,0.03330972604270591
cat__chain_label_Unassisted,-0.02947425115008129,0.02947425115008129
cat__pass_style_None,-0.02947425115008129,0.02947425115008129
cat__def_label_Dribble,0.026514551499126834,0.026514551499126834
cat__set_piece_category_Other Restart,-0.024398982089281884,0.024398982089281884
num__concession_bias_multiplier,0.01794246060212325,0.01794246060212325
num__set_piece_modeled_prob,-0.014826460300230281,0.014826460300230281
num__time_gap_seconds,-0.00824875245010637,0.00824875245010637
num__assist_quality_modeled_prob,0.0032379398739975714,0.0032379398739975714
num__concession_bias_logit,0.0017586027694367174,0.0017586027694367174
