team_name,team_id,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg,bias_logit,odds_multiplier
Ghana,31,24,5,2.5697532787,0.20833333333333334,0.10707305327916666,0.10126028005416668,0.8568799159969855,2.3557989244702116
Russia,41,73,10,5.960535748,0.136986301369863,0.08165117463013699,0.055335126739726015,0.7658122632976968,2.1507406330274903
Colombia,34,41,6,3.3092108718,0.14634146341463414,0.08071246028780488,0.06562900312682926,0.6462131082198818,1.9083006008267287
England,21,293,38,29.7811112963,0.1296928327645051,0.10164201807610922,0.02805081468839589,0.5171190360855578,1.6771887624137147
Netherlands,11,177,26,20.35399481,0.14689265536723164,0.11499432096045198,0.031898334406779666,0.33161030126267654,1.393209810604776
Japan,24,87,10,8.3754335907,0.11494252873563218,0.09626935161724139,0.018673177118390796,0.3196351152323316,1.3766253630564789
Albania,50,32,3,2.183610839,0.09375,0.06823783871875,0.02551216128125,0.3194927654957171,1.376429414745557
Italy,51,171,15,13.409795877,0.08771929824561403,0.07841985892982456,0.00929943931578947,0.31642733933405587,1.3722165324467037
Switzerland,3,217,26,20.971107966799998,0.11981566820276497,0.09664105053824884,0.02317461766451613,0.3151639917157358,1.3704840405587961
Spain,23,357,38,35.8398754531,0.10644257703081232,0.10039180799187675,0.0060507690389355745,0.28902062056628053,1.3351192591598346
Denmark,6,218,18,18.8986037333,0.08256880733944955,0.08669084281330275,-0.004122035473853203,0.252690296220765,1.287484476274789
Ukraine,44,90,8,8.1271889153,0.08888888888888889,0.09030209905888889,-0.0014132101699999983,0.2513706443840578,1.2857865655928227
Argentina,4,153,17,14.8316384137,0.1111111111111111,0.09693881316143792,0.014172297949673188,0.25024246408187517,1.2843367844777303
Cameroon,27,28,4,3.0667434502,0.14285714285714285,0.10952655179285715,0.033330591064285695,0.24690450436075562,1.2800568670926058
Turkey,42,113,9,9.1707860807,0.07964601769911504,0.08115739894424778,-0.0015113812451327396,0.18731280785908977,1.2060044737305375
Peru,38,32,2,2.1044745146,0.0625,0.06576482858125,-0.003264828581250004,0.14850004679953127,1.1600928520662275
France,16,331,29,29.6200461661,0.08761329305135952,0.08948654430845922,-0.001873251257099695,0.1465269924357769,1.1578061824056969
Belgium,29,242,24,24.8428683963,0.09917355371900827,0.10265648097644628,-0.003482927257438012,0.107274690383875,1.1132400088088807
Portugal,15,255,22,23.0063283237,0.08627450980392157,0.09022089538705882,-0.003946385583137257,0.09109780761655582,1.0953761361483803
Croatia,22,273,28,26.1313679475,0.10256410256410256,0.09571929651098901,0.00684480605311355,0.08960351216661494,1.0937405429062754
South Korea,13,82,8,6.6100199044,0.0975609756097561,0.08060999883414634,0.016950976775609763,0.08054744023077774,1.0838802649524977
Austria,43,102,10,9.703781352,0.09803921568627451,0.09513511129411764,0.002904104392156867,0.07519924079368544,1.078098930774102
Romania,46,37,3,2.973227509,0.08108108108108109,0.08035750024324324,0.0007235808378378422,0.025502886342349342,1.0258308671652467
Australia,5,58,3,4.0587137337,0.05172413793103448,0.06997782299482759,-0.01825368506379311,0.023401833241605136,1.0236778046822972
Slovakia,49,74,5,4.8259685079,0.06756756756756757,0.0652157906472973,0.0023517769202702765,0.022915020175969972,1.0231795862314421
Costa Rica,28,38,3,2.7815402746999998,0.07894736842105263,0.07319842828157894,0.0057489401394736905,0.014559653883620707,1.0146661619231834
Saudi Arabia,17,62,4,3.9191570763,0.06451612903225806,0.06321221090806452,0.0013039181241935455,-0.016131501929215905,0.9839979139228684
Czech Republic,45,99,8,9.3583399411,0.08080808080808081,0.09452868627373738,-0.013720605465656566,-0.038820415334107156,0.9619234403356133
Serbia,2,93,8,9.219422383,0.08602150537634409,0.09913357401075268,-0.013112068634408586,-0.05228022320535105,0.9490628801344552
Morocco,14,101,8,9.130428517,0.07920792079207921,0.09040028234653466,-0.011192361554455452,-0.06325208086478225,0.9387068138362674
Poland,19,138,10,12.6369964153,0.07246376811594203,0.09157243779202899,-0.01910866967608696,-0.07765611362680118,0.9252825639039376
Finland,55,19,1,1.493751018,0.05263157894736842,0.07861847463157895,-0.02598689568421053,-0.1002569572907769,0.9046049433337414
Georgia,48,28,2,2.650060871,0.07142857142857142,0.09464503110714285,-0.02321645967857143,-0.10630637400659333,0.8991491299508153
Senegal,10,78,7,7.1578302715,0.08974358974358974,0.09176705476282052,-0.002023465019230772,-0.13071676095927776,0.8774662719024037
Hungary,53,50,5,4.7401412057,0.1,0.094802824114,0.005197175886000008,-0.16109355242619935,0.8512124343936567
United States,25,46,3,3.9385379416,0.06521739130434782,0.08562039003478261,-0.020402998730434788,-0.16773322018605274,0.845579388108608
Sweden,35,96,7,9.368586393,0.07291666666666667,0.09758944159374999,-0.02467277492708332,-0.19473486336553159,0.8230528505921185
Iran,33,54,3,4.964391206,0.05555555555555555,0.09193317048148149,-0.036377614925925936,-0.2172269172348453,0.8047473375440534
Germany,26,283,20,27.0447456233,0.0706713780918728,0.0955644721671378,-0.024893094075265007,-0.2705360556911075,0.7629703900755694
Ecuador,9,29,3,3.0232283904,0.10344827586206896,0.10424925484137931,-0.0008009789793103489,-0.27292056223373207,0.761153249541354
Panama,36,24,1,2.3961893183,0.041666666666666664,0.09984122159583332,-0.05817455492916666,-0.2879630715674181,0.7497892802706875
Wales,30,61,3,4.941054553,0.04918032786885246,0.0810008943114754,-0.03182056644262295,-0.29871722058036776,0.7417691368263308
Slovenia,47,37,2,3.3990104003,0.05405405405405406,0.09186514595405405,-0.037811091899999996,-0.3089196644720042,0.7342397531952581
Brazil,7,197,15,22.0481913049,0.07614213197969544,0.11191975281675128,-0.03577762083705584,-0.35411557633025315,0.7017938519099736
Tunisia,8,69,5,6.6132387476,0.07246376811594203,0.09584403982028986,-0.023380271704347824,-0.3829983432789586,0.6818140288607027
North Macedonia,54,32,2,2.7852793398999998,0.0625,0.08703997937187499,-0.024539979371874993,-0.39421279852713514,0.6742105699578849
Qatar,20,20,1,1.4079916985,0.05,0.07039958492500001,-0.020399584925000006,-0.4003225452932553,0.6701038723245965
Nigeria,39,38,2,2.5963261047,0.05263157894736842,0.06832437117631579,-0.015692792228947372,-0.42655161243114514,0.6527561743730138
Uruguay,12,96,8,10.6699424054,0.08333333333333333,0.11114523338958333,-0.027811900056250005,-0.4351378851249216,0.6471754250612719
Canada,32,34,1,3.145125529,0.029411764705882353,0.09250369202941176,-0.06309192732352942,-0.46453531536028003,0.6284270577523735
Egypt,37,30,1,2.202232648,0.03333333333333333,0.07340775493333333,-0.0400744216,-0.4833931156304572,0.6166873462809743
Scotland,52,58,2,4.595537341,0.034482758620689655,0.07923340243103448,-0.044750643810344826,-0.5290137385882371,0.5891857744122896
Mexico,18,102,4,7.3387548557,0.0392156862745098,0.07194857701666667,-0.032732890742156864,-0.6827527898467611,0.5052243000269416
Iceland,40,34,1,3.149973363,0.029411764705882353,0.09264627538235294,-0.0632345106764706,-0.7706654962929759,0.4627050373387712
