set_piece_category,set_piece_phase,score_state,minute_bucket_label,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg
Direct Free Kick,Direct,Level,45-60,15,2,0.7273025183,0.13333333333333333,0.04848683455333334,0.08484649878
Direct Free Kick,Direct,Level,0-15,18,2,0.945820458,0.1111111111111111,0.052545581,0.058565530111111104
Direct Free Kick,Direct,Leading 1,45-60,12,1,0.445005362,0.08333333333333333,0.03708378016666667,0.04624955316666666
Direct Free Kick,Direct,Level,15-30,19,1,0.859294419,0.05263157894736842,0.04522602205263158,0.007405556894736841
Direct Free Kick,Direct,Level,75-90,10,0,0.335236371,0.0,0.033523637099999996,-0.033523637099999996
Direct Free Kick,Direct,Level,30-45,26,0,0.9195772962,0.0,0.03536835754615385,-0.03536835754615385
Direct Free Kick,Direct,Level,60-75,12,0,0.4459157804,0.0,0.037159648366666666,-0.037159648366666666
Indirect Free Kick,First Phase,Trailing 2+,75-90,15,3,0.894825726,0.2,0.0596550484,0.14034495160000002
Indirect Free Kick,First Phase,Level,30-45,58,8,4.318780624,0.13793103448275862,0.07446173489655174,0.06346929958620688
Indirect Free Kick,First Phase,Trailing 1,45-60,26,4,2.7584676147,0.15384615384615385,0.1060949082576923,0.047751245588461555
Indirect Free Kick,First Phase,Leading 1,60-75,24,5,3.9047355524,0.20833333333333334,0.16269731468333334,0.04563601865
Indirect Free Kick,First Phase,Level,60-75,39,5,3.564923108,0.1282051282051282,0.09140828482051282,0.03679684338461538
Indirect Free Kick,First Phase,Leading 2+,75-90,13,2,1.610694333,0.15384615384615385,0.12389956407692308,0.029946589769230772
Indirect Free Kick,First Phase,Trailing 1,90+,21,3,2.549369443,0.14285714285714285,0.1213985449047619,0.021458597952380948
Indirect Free Kick,First Phase,Trailing 1,75-90,21,2,1.886546243,0.09523809523809523,0.08983553538095237,0.005402559857142858
Indirect Free Kick,First Phase,Leading 1,30-45,13,1,0.93144456,0.07692307692307693,0.07164958153846154,0.005273495384615384
Indirect Free Kick,First Phase,Level,75-90,36,3,3.014852249,0.08333333333333333,0.08374589580555555,-0.00041256247222222486
Indirect Free Kick,First Phase,Level,15-30,53,4,4.0374275372,0.07547169811320754,0.07617787806037736,-0.000706179947169816
Indirect Free Kick,First Phase,Level,90+,37,3,3.281357368,0.08108108108108109,0.08868533427027027,-0.0076042531891891835
Indirect Free Kick,First Phase,Leading 1,45-60,29,3,3.290518141,0.10344827586206896,0.11346614279310345,-0.010017866931034486
Indirect Free Kick,First Phase,Level,45-60,51,4,5.1075204632,0.0784313725490196,0.10014746006274511,-0.0217160875137255
Indirect Free Kick,First Phase,Level,0-15,66,3,5.1631526397,0.045454545454545456,0.07822958545,-0.032775039995454544
Indirect Free Kick,First Phase,Leading 1,75-90,19,1,1.892186192,0.05263157894736842,0.09958874694736843,-0.04695716800000001
Indirect Free Kick,First Phase,Trailing 1,15-30,13,0,0.6590907385,0.0,0.050699287576923074,-0.050699287576923074
Indirect Free Kick,First Phase,Leading 1,15-30,10,0,0.610398123,0.0,0.061039812299999996,-0.061039812299999996
Indirect Free Kick,First Phase,Trailing 1,30-45,10,0,0.747682827,0.0,0.0747682827,-0.0747682827
Indirect Free Kick,First Phase,Trailing 1,60-75,29,1,3.69047567,0.034482758620689655,0.12725778172413793,-0.09277502310344828
Indirect Free Kick,Second Phase,Level,60-75,14,3,1.574362548,0.21428571428571427,0.11245446771428572,0.10183124657142856
Indirect Free Kick,Second Phase,Level,0-15,23,2,1.3769313328,0.08695652173913043,0.059866579686956516,0.027089942052173917
Indirect Free Kick,Second Phase,Trailing 1,90+,13,1,0.9079521637,0.07692307692307693,0.06984247413076923,0.007080602792307697
Indirect Free Kick,Second Phase,Level,45-60,16,1,0.931574834,0.0625,0.058223427125,0.004276572875000002
Indirect Free Kick,Second Phase,Level,75-90,10,1,1.277281211,0.1,0.1277281211,-0.027728121100000003
Indirect Free Kick,Second Phase,Level,90+,17,1,1.481643107,0.058823529411764705,0.08715547688235294,-0.02833194747058823
Indirect Free Kick,Second Phase,Level,15-30,18,1,1.6275703719999999,0.05555555555555555,0.09042057622222222,-0.03486502066666666
Indirect Free Kick,Second Phase,Level,30-45,17,0,1.865810975,0.0,0.10975358676470588,-0.10975358676470588
Corner,First Phase,Leading 1,75-90,12,2,1.010861463,0.16666666666666666,0.08423845525,0.08242821141666666
Corner,First Phase,Trailing 1,60-75,30,4,2.724241503,0.13333333333333333,0.0908080501,0.042525283233333336
Corner,First Phase,Trailing 1,90+,21,3,2.128688366,0.14285714285714285,0.10136611266666666,0.04149103019047619
Corner,First Phase,Leading 1,45-60,18,2,1.284077054,0.1111111111111111,0.07133761411111111,0.03977349699999999
Corner,First Phase,Leading 1,30-45,20,2,1.44983204,0.1,0.072491602,0.027508398000000003
Corner,First Phase,Trailing 1,45-60,21,2,1.9733722354,0.09523809523809523,0.09397010644761905,0.0012679887904761822
Corner,First Phase,Level,45-60,60,4,4.502691058,0.06666666666666667,0.07504485096666666,-0.008378184299999994
Corner,First Phase,Level,15-30,76,6,6.671123849,0.07894736842105263,0.08777794538157895,-0.008830576960526318
Corner,First Phase,Trailing 1,30-45,16,1,1.239183165,0.0625,0.0774489478125,-0.014948947812500002
Corner,First Phase,Level,90+,33,2,2.613848609,0.06060606060606061,0.07920753360606061,-0.018601473000000007
Corner,First Phase,Trailing 1,15-30,18,1,1.35511254,0.05555555555555555,0.07528403,-0.01972847444444445
Corner,First Phase,Level,60-75,37,2,3.023696651,0.05405405405405406,0.0817215311081081,-0.02766747705405405
Corner,First Phase,Leading 2+,45-60,16,2,2.479837431,0.125,0.1549898394375,-0.0299898394375
Corner,First Phase,Level,75-90,30,2,2.9220908355,0.06666666666666667,0.09740302785,-0.03073636118333334
Corner,First Phase,Level,30-45,59,3,5.324951024,0.05084745762711865,0.09025340718644068,-0.03940594955932203
Corner,First Phase,Level,0-15,79,4,7.576513672,0.05063291139240506,0.09590523635443038,-0.045272324962025316
Corner,First Phase,Leading 1,60-75,19,1,1.97317412,0.05263157894736842,0.10385126947368421,-0.051219690526315795
Corner,First Phase,Trailing 1,75-90,26,0,1.4672058434,0.0,0.056430993976923076,-0.056430993976923076
Corner,First Phase,Trailing 2+,75-90,12,1,1.894078818,0.08333333333333333,0.15783990150000002,-0.07450656816666669
Corner,First Phase,Leading 1,15-30,10,0,0.8449355630000001,0.0,0.08449355630000001,-0.08449355630000001
Corner,First Phase,Trailing 2+,60-75,12,0,1.2858120855,0.0,0.10715100712499999,-0.10715100712499999
Corner,Second Phase,Level,0-15,23,2,1.634388148,0.08695652173913043,0.07106035426086957,0.015896167478260864
Corner,Second Phase,Trailing 1,60-75,13,3,3.149290251,0.23076923076923078,0.24225309623076924,-0.011483865461538456
Corner,Second Phase,Level,45-60,30,1,1.608287241,0.03333333333333333,0.0536095747,-0.02027624136666667
Corner,Second Phase,Level,30-45,17,1,1.397696249,0.058823529411764705,0.0822174264117647,-0.023393896999999997
Corner,Second Phase,Trailing 1,75-90,18,1,1.4244672729999999,0.05555555555555555,0.07913707072222222,-0.023581515166666664
Corner,Second Phase,Trailing 1,15-30,13,2,2.482550737,0.15384615384615385,0.1909654413076923,-0.03711928746153845
Corner,Second Phase,Level,15-30,21,1,2.2281077320000002,0.047619047619047616,0.1061003681904762,-0.05848132057142859
Corner,Second Phase,Level,75-90,14,0,0.841308556,0.0,0.06009346828571428,-0.06009346828571428
Corner,Second Phase,Level,60-75,15,0,1.0564488606,0.0,0.07042992404,-0.07042992404
Throw In,First Phase,Trailing 1,30-45,16,3,1.4955975587,0.1875,0.09347484741875,0.09402515258125
Throw In,First Phase,Leading 1,30-45,21,3,1.865997565,0.14285714285714285,0.08885702690476191,0.05400011595238094
Throw In,First Phase,Trailing 1,75-90,35,3,2.2701670817,0.08571428571428572,0.06486191662,0.020852369094285714
Throw In,First Phase,Trailing 2+,75-90,10,1,0.79583676,0.1,0.079583676,0.020416324
Throw In,First Phase,Trailing 2+,60-75,16,2,1.7115874663,0.125,0.10697421664375,0.018025783356250005
Throw In,First Phase,Leading 1,45-60,29,3,2.5242139678999997,0.10344827586206896,0.08704186096206895,0.016406414900000013
Throw In,First Phase,Level,0-15,91,9,7.918383506,0.0989010989010989,0.08701520336263736,0.011885895538461533
Throw In,First Phase,Leading 1,75-90,17,2,1.805265466,0.11764705882352941,0.10619208623529412,0.011454972588235288
Throw In,First Phase,Level,45-60,62,6,5.4231734325,0.0967741935483871,0.08747053923387096,0.00930365431451613
Throw In,First Phase,Level,90+,39,3,2.7503885441,0.07692307692307693,0.07052278318205128,0.006400293741025645
Throw In,First Phase,Level,75-90,42,4,3.8129019497,0.09523809523809523,0.0907833797547619,0.00445471548333333
Throw In,First Phase,Leading 1,60-75,13,1,0.981499068,0.07692307692307693,0.07549992830769231,0.0014231486153846173
Throw In,First Phase,Level,30-45,66,4,5.9588972352,0.06060606060606061,0.09028632174545455,-0.02968026113939394
Throw In,First Phase,Trailing 1,60-75,43,2,3.278636383,0.046511627906976744,0.07624735774418605,-0.029735729837209304
Throw In,First Phase,Trailing 1,15-30,23,1,1.794712039,0.043478260869565216,0.0780309582173913,-0.03455269734782608
Throw In,First Phase,Trailing 1,90+,31,1,2.1184058976999998,0.03225806451612903,0.06833567411935483,-0.0360776096032258
Throw In,First Phase,Level,15-30,76,3,5.9920761766,0.039473684210526314,0.07884310758684211,-0.0393694233763158
Throw In,First Phase,Level,60-75,34,1,2.6891051138,0.029411764705882353,0.0790913268764706,-0.04967956217058824
Throw In,First Phase,Trailing 1,45-60,37,1,2.942256107,0.02702702702702703,0.07952043532432432,-0.05249340829729729
Throw In,First Phase,Trailing 2+,90+,12,0,1.270981577,0.0,0.10591513141666666,-0.10591513141666666
Throw In,Second Phase,Level,90+,12,2,0.7566243579999999,0.16666666666666666,0.06305202983333333,0.10361463683333333
Throw In,Second Phase,Level,0-15,40,7,3.7203725639000003,0.175,0.0930093140975,0.08199068590249999
Throw In,Second Phase,Level,45-60,22,3,1.3266699347,0.13636363636363635,0.06030317885,0.07606045751363635
Throw In,Second Phase,Level,15-30,25,4,2.539966259,0.16,0.10159865035999999,0.058401349640000016
Throw In,Second Phase,Trailing 1,45-60,12,1,0.9619676309999999,0.08333333333333333,0.08016396925,0.003169364083333334
Throw In,Second Phase,Level,30-45,20,0,2.406312583,0.0,0.12031562915,-0.12031562915
Goal Kick,First Phase,Level,60-75,15,3,1.1622210938,0.2,0.07748140625333333,0.12251859374666668
Goal Kick,First Phase,Level,30-45,19,2,1.109861321,0.10526315789473684,0.0584137537368421,0.046849404157894736
Goal Kick,First Phase,Level,15-30,17,2,1.6255211939,0.11764705882352941,0.09561889375882353,0.022028165064705882
Goal Kick,First Phase,Level,45-60,11,1,0.864364286,0.09090909090909091,0.07857857145454546,0.012330519454545455
Goal Kick,First Phase,Level,0-15,25,1,1.847141459,0.04,0.07388565836,-0.033885658359999994
Other Restart,First Phase,Leading 2+,90+,10,3,1.835841098,0.3,0.1835841098,0.11641589019999998
Other Restart,First Phase,Leading 1,60-75,13,3,1.839505282,0.23076923076923078,0.1415004063076923,0.08926882446153847
Other Restart,First Phase,Leading 1,45-60,12,2,0.996596013,0.16666666666666666,0.08304966775,0.08361699891666666
Other Restart,First Phase,Level,90+,14,3,1.879695678,0.21428571428571427,0.134263977,0.08002173728571427
Other Restart,First Phase,Level,45-60,26,4,2.5200491213,0.15384615384615385,0.09692496620384615,0.056921187642307705
Other Restart,First Phase,Level,0-15,18,3,2.165322869,0.16666666666666666,0.12029571494444445,0.046370951722222206
Other Restart,First Phase,Level,15-30,18,2,1.6381034145,0.1111111111111111,0.09100574524999999,0.020105365861111113
Other Restart,First Phase,Level,60-75,14,1,1.008449604,0.07142857142857142,0.07203211457142857,-0.0006035431428571408
Other Restart,First Phase,Level,30-45,18,1,1.286622701,0.05555555555555555,0.07147903894444445,-0.015923483388888895
Other Restart,First Phase,Leading 2+,75-90,12,1,1.578624716,0.08333333333333333,0.13155205966666667,-0.04821872633333334
Other Restart,Second Phase,Level,45-60,13,1,1.370353346,0.07692307692307693,0.10541179584615384,-0.028488718923076917
